article_id,text,category
1,"Scientists have discovered a new species of deep-sea fish capable of surviving extreme pressure.",science
2,"The central bank raised interest rates by half a percentage point to combat rising inflation.",economy
3,"National football team qualified for the World Cup after a dramatic penalty shootout victory.",sports
4,"Tech giant announced mass layoffs affecting fifteen thousand employees across global operations.",technology
5,"New climate study warns that Arctic ice could completely disappear by end of this decade.",environment
6,"Government introduced new legislation to regulate artificial intelligence development and deployment.",politics
7,"Astronomers detected gravitational waves from the merger of two massive neutron stars.",science
8,"Stock markets rallied sharply after positive employment data exceeded analyst expectations.",economy
9,"Olympic swimmer broke the world record in the hundred meter freestyle at the championship.",sports
10,"Social media platform launched new privacy features giving users more control over their data.",technology
11,"Unprecedented wildfires devastated thousands of hectares of protected forest in the region.",environment
12,"Opposition party leader called for early elections citing widespread corruption in the government.",politics
13,"Researchers developed a vaccine showing ninety percent efficacy against a deadly tropical disease.",science
14,"Retail sales declined for the third consecutive month signaling weakening consumer confidence.",economy
15,"Marathon runner completed the race in record time despite extreme heat conditions on the course.",sports
