id,text,rating
1,"The cinematography in this film was absolutely stunning and the storyline kept me engaged throughout.",5
2,"Poor acting and a predictable plot made this movie a complete disappointment for me.",1
3,"The director created a masterpiece that beautifully explores themes of love loss and redemption.",5
4,"Special effects were impressive but the weak script failed to support the visual spectacle.",2
5,"A brilliant performance by the lead actor elevates this otherwise ordinary thriller significantly.",4
6,"The pacing was too slow and the ending felt rushed and unsatisfying for such a long buildup.",2
7,"Exceptional storytelling with stunning visuals and a powerful emotional punch in the final act.",5
8,"Formulaic romantic comedy with predictable twists that offers nothing new to the genre.",2
9,"The ensemble cast delivered outstanding performances making every scene feel authentic and real.",4
10,"Overhyped blockbuster relying too heavily on explosions and lacking any meaningful character development.",1
11,"A thought-provoking science fiction film that raises important questions about technology and humanity.",5
12,"Beautiful soundtrack perfectly complemented the emotional depth of this touching family drama.",4
13,"The sequel failed to capture the magic of the original and felt like a cash grab.",2
14,"Groundbreaking animation and witty dialogue make this animated film enjoyable for all ages.",5
15,"Despite strong source material the adaptation lost much of what made the novel so compelling.",3
