emp_id,text,department
1,"Management communicates clearly and I always feel informed about company goals and direction.",HR
2,"Workload has become unmanageable and burnout is a serious concern among our entire team.",Engineering
3,"The new flexible work from home policy has greatly improved my work life balance.",Operations
4,"Salary increases have not kept pace with inflation making it hard to stay motivated.",Finance
5,"Team collaboration tools are outdated and slow down our productivity significantly every day.",IT
6,"Training programs are excellent and I feel genuinely supported in my career development.",HR
7,"Micromanagement from senior leadership stifles creativity and prevents innovative thinking.",Engineering
8,"Office facilities are well maintained and the cafeteria food quality has greatly improved.",Operations
9,"Bonus structure is unclear and decisions about performance rewards feel inconsistent and unfair.",Finance
10,"New project management software reduced our team coordination time by almost forty percent.",IT
11,"Company culture genuinely values diversity and inclusion and I feel respected and heard.",HR
12,"Deadline pressures are unrealistic and consistently impact quality of our final deliverables.",Engineering
13,"Supply chain processes have improved dramatically since the new vendor management system launched.",Operations
14,"Budget approval processes are slow and bureaucratic causing unnecessary project delays.",Finance
15,"Remote work infrastructure is reliable and IT support responds quickly to technical issues.",IT
