review_id,text,stars
1,"This laptop has incredible performance and the battery lasts all day through heavy workloads.",5
2,"The phone screen cracked after one minor drop showing very poor build quality and durability.",1
3,"Headphones deliver rich deep bass and crystal clear highs with exceptional noise cancellation.",5
4,"Smart watch stopped syncing after two weeks and customer support was completely unhelpful.",1
5,"Tablet is lightweight with a beautiful display making it perfect for reading and streaming.",4
6,"Router drops connection every few hours requiring constant restarts which is extremely frustrating.",2
7,"Camera produces stunning photos even in low light conditions far surpassing my previous model.",5
8,"Coffee maker leaks and the heating element failed within the first month of regular use.",1
9,"Running shoes provide excellent support and cushioning making long distance runs comfortable.",5
10,"Air purifier is surprisingly quiet and has noticeably improved the air quality in my home.",4
11,"Gaming keyboard has satisfying tactile feedback and the RGB lighting is fully customizable.",4
12,"Blender motor burned out after three months of normal use which is unacceptable for the price.",1
13,"Wireless earbuds stay securely in place during intense workouts with impressive sound quality.",5
14,"Smart thermostat was easy to install and has already reduced my monthly energy bills.",4
15,"Vacuum cleaner loses suction quickly and the dustbin capacity is far too small for daily use.",2
